Code, Name, Standard Deviation, Average, HedgeType, Skewness, latestValue, BuySuggestion
sz300148,天舟文化_us_chad,3.86,-9.79,1,0.028,-11.39,0
sz000513,丽珠集团_us_chad,4.27,-0.28,1,0.029,0.45,0
sh601567,三星医疗_us_chad,4.40,-17.99,1,-0.035,-21.69,1
sz000858,&#x4e94 ;&#x7cae ;液_us_chad,4.47,-0.07,1,-0.047,6.72,2
sz300144,宋城演艺_us_chad,4.64,-1.11,1,0.026,-4.72,0
sz002224,&#x4e09 ;&#x529b ;士_us_chad,4.66,-2.13,1,-0.068,-18.94,1
sz300180,华峰超纤_us_chad,4.69,-8.39,1,-0.014,-1.91,2
sz300138,晨光生物_us_chad,4.70,-10.40,1,0.025,-11.57,0
sh600856,中天能源_us_chad,4.73,-4.03,1,0.025,-10.74,1
sh601388,怡球资源_us_chad,4.82,-7.67,1,-0.084,0.49,2
sz300292,吴通控股_us_chad,4.87,-12.48,1,0.054,-15.51,0
sz002573,清新环境_us_chad,4.93,-8.80,1,0.003,-12.48,0
sz000876,&#x65b0 ;&#x5e0c ;望_us_chad,4.99,-5.52,1,0.056,-6.02,0
sz300406,九强生物_us_chad,5.06,-17.67,1,-0.031,-22.05,1
sh600867,通化东宝_us_chad,5.07,0.89,1,0.021,2.17,0
sz300238,冠昊生物_us_chad,5.10,-11.35,1,0.057,3.08,2
sh601199,江南水务_us_chad,5.11,6.91,1,0.017,18.97,2
sz002557,洽洽食品_us_chad,5.14,-1.46,1,0.063,7.76,2
sz002537,海立美达_us_chad,5.28,-8.39,1,-0.056,-8.85,0
sz002660,茂硕电源_us_chad,5.31,-19.13,1,-0.014,-23.48,1
sh600660,福耀玻璃_us_chad,5.40,1.52,1,-0.007,-1.59,0
sh601222,林洋能源_us_chad,5.40,-7.42,1,-0.032,-15.73,1
sz002206,&#x6d77 ;&#x5229 ;得_us_chad,5.45,-11.07,1,-0.043,-12.02,0
sz300136,信维通信_us_chad,5.47,-6.67,1,-0.006,-2.26,0
sz002705,新宝股份_us_chad,5.49,-7.44,1,-0.012,-10.50,0
sz300145,中金环境_us_chad,5.58,-8.45,1,-0.026,-11.48,0
sz000488,晨鸣纸业_us_chad,5.58,-15.35,1,-0.049,-19.32,0
sz300402,宝色股份_us_chad,5.61,-21.22,1,-0.028,-27.73,1
sz002450,康得新_us_chad,5.61,3.07,1,-0.015,-0.29,0
sz300258,精锻科技_us_chad,5.62,-12.45,1,-0.044,-4.32,2
sz002707,众信旅游_us_chad,5.67,-12.85,1,-0.061,-6.74,2
sh601169,北京银行_us_chad,5.69,1.85,1,-0.020,1.79,0
sz002039,黔源电力_us_chad,5.81,-4.88,1,-0.029,-4.87,0
sz002138,顺络电子_us_chad,5.84,-23.82,1,-0.033,-17.52,2
sz002516,旷达科技_us_chad,5.85,-17.86,1,-0.050,-24.36,1
sz300305,裕兴股份_us_chad,5.86,-14.63,1,-0.004,-17.76,0
sz300068,南都电源_us_chad,5.87,-22.01,1,-0.035,-25.43,0
sz002356,浩宁达_us_chad,5.89,-17.39,1,-0.026,-28.87,1
sz300127,银河磁体_us_chad,5.90,-15.99,1,-0.027,-14.94,0
sz300198,纳川股份_us_chad,5.93,-6.42,1,0.010,-13.07,1
sz002333,罗普斯金_us_chad,5.94,-2.73,1,0.024,-2.84,0
sz300017,网宿科技_us_chad,5.96,4.34,1,0.017,13.06,2
sz002304,洋河股份_us_chad,5.96,0.92,1,-0.031,3.73,0
sz300283,温州宏丰_us_chad,5.98,-23.11,1,-0.022,-30.28,1
sz300104,乐视网_us_chad,5.99,-10.43,1,-0.099,-4.77,2
sz300200,高盟新材_us_chad,6.00,-19.20,1,-0.030,-21.78,0
sh603333,明星电缆_us_chad,6.00,-23.50,1,-0.018,-34.85,1
sz002437,誉衡药业_us_chad,6.01,-8.29,1,-0.075,-15.32,1
sz300172,中电环保_us_chad,6.02,-16.29,1,-0.063,-23.82,1
sz300498,温氏股份_us_chad,6.06,-12.48,1,-0.034,-20.04,1
sz300403,地尔汉宇_us_chad,6.06,-13.27,1,-0.033,-20.90,1
sz300307,慈星股份_us_chad,6.06,-17.55,1,-0.044,-6.01,2
sz002580,圣阳股份_us_chad,6.08,-15.50,1,-0.022,-29.38,1
us_chad,us_chad_贵研铂业,6.12,-21.83,1,-0.054,-25.67,0
sz002684,猛狮科技_us_chad,6.16,-21.75,1,-0.016,-23.65,0
us_chad,us_chad_伊力特,6.17,-11.34,1,-0.027,-5.21,2
sh600683,京投银泰_us_chad,6.18,-13.85,1,-0.023,-20.66,1
sh600884,杉杉股份_us_chad,6.20,-4.69,1,-0.006,-6.04,0
