Code, Name, Standard Deviation, Average, HedgeType, Skewness, latestValue, BuySuggestion
sz300099,尤洛卡_us_chad,0.59,0.45,1,1.370,1.36,2
sh600153,建发股份_us_chad,1.50,-4.47,1,-0.251,-3.96,0
sz300094,国联水产_us_chad,1.91,-1.77,1,0.635,1.11,2
sz002075,沙钢股份_us_chad,1.97,-0.35,2,-0.805,-1.31,0
sz000812,陕西金叶_us_chad,2.03,2.54,1,-4.270,1.67,0
sz300149,量子高科_us_chad,2.44,-1.23,1,-0.165,-5.85,1
sz002384,东山精密_us_chad,2.91,-0.88,1,0.523,3.96,1
sh600654,中安消_us_chad,3.06,-2.80,1,-0.812,-1.82,0
sh600643,爱建集团_us_chad,3.08,4.06,1,0.451,0.82,1
sz000839,中信国安_us_chad,3.14,1.26,1,0.102,4.66,2
sz002235,安妮股份_us_chad,3.24,-2.68,1,-0.963,-6.12,1
sz000711,京蓝科技_us_chad,3.27,-3.05,1,-3.490,-9.16,1
sz002413,雷科防务_us_chad,3.38,-0.07,1,-1.443,-0.08,0
sz002320,海峡股份_us_chad,3.46,-5.62,1,-0.895,-4.32,0
sz300269,联建光电_us_chad,3.65,-2.99,1,-1.254,-9.90,1
sz300148,天舟文化_us_chad,3.86,-9.79,1,0.028,-11.39,0
sz002418,康盛股份_us_chad,4.15,-4.33,1,0.159,-5.55,0
sz002409,雅克科技_us_chad,4.17,-5.24,1,-0.593,-6.78,0
sz000513,丽珠集团_us_chad,4.27,-0.28,1,0.029,0.45,0
sz300317,珈伟股份_us_chad,4.34,-8.80,1,-0.739,-8.07,0
sh601567,三星医疗_us_chad,4.40,-17.99,1,-0.035,-21.69,1
sz000858,&#x4e94 ;&#x7cae ;液_us_chad,4.47,-0.07,1,-0.047,6.72,2
sz002481,双塔食品_us_chad,4.57,5.56,1,-0.327,-1.40,1
sz002639,雪人股份_us_chad,4.59,8.61,1,1.254,8.48,0
sz300144,宋城演艺_us_chad,4.64,-1.11,1,0.026,-4.72,0
sz002224,&#x4e09 ;&#x529b ;士_us_chad,4.66,-2.13,1,-0.068,-18.94,1
sz300180,华峰超纤_us_chad,4.69,-8.39,1,-0.014,-1.91,2
sz300138,晨光生物_us_chad,4.70,-10.40,1,0.025,-11.57,0
sh600856,中天能源_us_chad,4.73,-4.03,1,0.025,-10.74,1
sz300466,赛摩电气_us_chad,4.76,-13.08,1,-1.044,-16.20,0
sh601388,怡球资源_us_chad,4.82,-7.67,1,-0.084,0.49,2
