code,name,sd,ave,upperLimit,lowerLimit,hedgeType,purchaseDate,purchasePriceArr
sh601567&us_chad,三星医疗&us_chad,4.50,-18.76,-14.26,-23.26,1.00,6/17/2015,21.36&39.29999923706055
sz163412&us_chad,兴全轻资&us_chad,4.50,6.94,11.44,2.44,1.00,6/17/2015,2.66&39.29999923706055
sz300138&us_chad,晨光生物&us_chad,4.97,-10.15,-5.18,-15.12,1.00,6/17/2015,20.29&39.29999923706055
sz300406&us_chad,九强生物&us_chad,4.99,-19.02,-14.03,-24.01,1.00,6/17/2015,31.52&39.29999923706055
sz163415&us_chad,兴全模式&us_chad,5.07,-0.99,4.08,-6.06,1.00,6/17/2015,1.92&39.29999923706055
sh600660&us_chad,福耀玻璃&us_chad,5.38,1.67,7.05,-3.71,1.00,6/17/2015,15.69&39.29999923706055
sz002705&us_chad,新宝股份&us_chad,5.90,-6.88,-0.98,-12.78,1.00,6/17/2015,18.09&39.29999923706055
sh601222&us_chad,林洋能源&us_chad,5.97,-8.19,-2.22,-14.16,1.00,6/17/2015,44.62&39.29999923706055
sh601009&us_chad,南京银行&us_chad,5.99,1.47,7.46,-4.52,1.00,6/17/2015,10.65&39.29999923706055
sh601601&us_chad,中国太保&us_chad,6.08,-2.15,3.93,-8.23,1.00,6/17/2015,32.11&39.29999923706055
sz002594&us_chad,比亚迪&us_chad,6.16,-0.26,5.90,-6.42,1.00,6/17/2015,70.9&39.29999923706055
jj519983&us_chad,长信量化先锋混合&us_chad,6.17,-7.62,-1.45,-13.79,1.00,6/17/2015,2.727&39.29999923706055
sz160211&us_chad,国泰小盘&us_chad,6.23,-5.87,0.36,-12.10,1.00,6/17/2015,2.99&39.29999923706055
sh600377&us_chad,宁沪高速&us_chad,6.27,-3.10,3.17,-9.37,1.00,6/17/2015,9.93&39.29999923706055
sz002039&us_chad,黔源电力&us_chad,6.37,-3.90,2.47,-10.27,1.00,6/17/2015,21.62&39.29999923706055
sz002450&us_chad,康得新&us_chad,6.47,2.01,8.48,-4.46,1.00,6/17/2015,19.44&39.29999923706055
sz000423&us_chad,东阿阿胶&us_chad,6.48,-0.86,5.62,-7.34,1.00,6/17/2015,57.93&39.29999923706055
sz002304&us_chad,洋河股份&us_chad,6.48,2.29,8.77,-4.19,1.00,6/17/2015,73.93&39.29999923706055
sz300307&us_chad,慈星股份&us_chad,6.52,-18.30,-11.78,-24.82,1.00,6/17/2015,21.45&39.29999923706055
sz300015&us_chad,爱尔眼科&us_chad,6.56,-1.44,5.12,-8.00,1.00,6/17/2015,38.07&39.29999923706055
sh601166&us_chad,兴业银行&us_chad,6.57,0.12,6.69,-6.45,1.00,6/17/2015,18.19&39.29999923706055
sz300136&us_chad,信维通信&us_chad,6.60,-6.59,0.01,-13.19,1.00,6/17/2015,23.28&39.29999923706055
sz002142&us_chad,宁波银行&us_chad,6.63,-3.67,2.96,-10.30,1.00,6/17/2015,17.42&39.29999923706055
sh600345&us_chad,长江通信&us_chad,6.68,-16.47,-9.79,-23.15,1.00,6/17/2015,28.18&39.29999923706055
sh600867&us_chad,通化东宝&us_chad,6.74,2.13,8.87,-4.61,1.00,6/17/2015,23.41&39.29999923706055
sh600104&us_chad,XD上汽集&us_chad,6.87,0.74,7.61,-6.13,1.00,6/17/2015,21.94&39.29999923706055
sz300122&us_chad,智飞生物&us_chad,6.89,-15.29,-8.40,-22.18,1.00,6/17/2015,20.79&39.29999923706055
sz002748&us_chad,世龙实业&us_chad,6.91,-15.88,-8.97,-22.79,1.00,6/17/2015,23.5&39.29999923706055
sh600566&us_chad,济川药业&us_chad,6.93,-0.44,6.49,-7.37,1.00,6/17/2015,28.53&39.29999923706055
sh600884&us_chad,杉杉股份&us_chad,6.96,-4.17,2.79,-11.13,1.00,6/17/2015,18.54&39.29999923706055
