id, ratioMA5_MA30,ratio5, ratio3
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00
