id, ratioMA5_MA30,ratio5, ratio3
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.01,1.02,1.04,0.99
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.02,1.03,0.98
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.01,1.02,1.04,0.99
19,1.01,1.02,1.04,0.99
19,1.01,1.02,1.04,0.99
19,1.01,1.02,1.04,0.99
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.01,1.01,1.03,1.00
19,1.01,1.01,1.02,1.00
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.01,1.02,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.01,1.02,1.03,0.99
19,1.00,1.02,1.03,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.00,1.02,1.00
19,1.00,1.00,1.02,1.00
19,1.00,1.00,1.02,1.00
19,1.00,1.00,1.01,1.00
19,1.00,1.00,1.01,1.00
19,1.00,1.00,1.01,1.00
19,1.00,1.00,1.01,1.00
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.01,0.99
19,1.00,1.01,1.01,0.99
19,1.00,1.01,1.01,0.99
19,1.00,1.01,1.01,0.99
19,1.00,1.01,1.01,0.99
19,1.00,1.01,1.01,0.99
19,1.00,1.01,1.01,0.99
19,1.00,1.01,1.01,0.99
19,1.00,1.01,1.01,0.99
19,1.00,1.01,1.01,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.01,1.01,1.02,1.00
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.01,1.02,1.03,0.99
19,1.01,1.02,1.03,0.99
19,1.01,1.02,1.03,0.99
19,1.01,1.02,1.03,0.99
19,1.01,1.02,1.03,0.99
19,1.00,1.02,1.03,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.02,1.03,0.98
19,1.01,1.03,1.04,0.98
19,1.01,1.03,1.04,0.98
19,1.01,1.03,1.04,0.98
19,1.01,1.03,1.04,0.98
19,1.01,1.03,1.04,0.98
19,1.00,1.03,1.04,0.97
19,1.00,1.03,1.04,0.97
19,1.00,1.03,1.04,0.97
19,1.01,1.03,1.05,0.98
19,1.00,1.03,1.04,0.97
19,1.00,1.03,1.04,0.97
19,1.00,1.03,1.04,0.97
19,1.00,1.03,1.04,0.97
19,1.00,1.03,1.04,0.97
19,1.00,1.03,1.04,0.97
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.05,0.98
19,1.01,1.03,1.05,0.98
19,1.01,1.03,1.05,0.98
19,1.02,1.05,1.07,0.97
19,1.02,1.05,1.07,0.97
19,1.02,1.05,1.07,0.97
19,1.01,1.05,1.07,0.96
19,1.01,1.04,1.07,0.97
19,1.01,1.05,1.07,0.96
19,1.01,1.05,1.08,0.96
19,1.01,1.05,1.08,0.96
19,1.01,1.05,1.08,0.96
19,1.01,1.05,1.08,0.96
19,1.01,1.05,1.08,0.96
19,1.01,1.05,1.08,0.96
19,1.00,1.05,1.08,0.95
19,1.00,1.05,1.08,0.95
19,1.00,1.04,1.08,0.96
19,1.00,1.04,1.08,0.96
19,1.01,1.05,1.08,0.96
19,1.01,1.05,1.08,0.96
19,1.01,1.05,1.08,0.96
19,1.06,1.10,1.14,0.96
19,1.05,1.10,1.14,0.95
19,1.04,1.09,1.13,0.95
19,1.02,1.09,1.13,0.94
19,1.01,1.08,1.13,0.94
19,1.00,1.08,1.12,0.93
19,1.00,1.07,1.12,0.93
19,1.00,1.07,1.12,0.93
19,1.00,1.07,1.11,0.93
19,1.00,1.06,1.11,0.94
19,1.00,1.06,1.11,0.94
19,1.00,1.05,1.11,0.95
19,1.00,1.05,1.10,0.95
19,1.00,1.05,1.10,0.95
19,1.00,1.04,1.10,0.96
19,1.00,1.04,1.09,0.96
19,1.00,1.04,1.09,0.96
19,1.00,1.04,1.09,0.96
19,1.00,1.03,1.09,0.97
19,1.00,1.03,1.08,0.97
19,1.00,1.03,1.08,0.97
19,1.00,1.02,1.08,0.98
19,1.00,1.02,1.08,0.98
19,1.00,1.02,1.07,0.98
19,1.00,1.02,1.07,0.98
19,1.00,1.02,1.07,0.98
19,1.00,1.02,1.07,0.98
19,1.01,1.02,1.07,0.99
19,1.01,1.02,1.07,0.99
19,1.00,1.01,1.07,0.99
19,1.00,1.01,1.06,0.99
19,1.00,1.01,1.06,0.99
19,1.00,1.01,1.06,0.99
19,1.00,1.01,1.06,0.99
19,1.00,1.02,1.06,0.98
19,1.00,1.01,1.06,0.99
19,1.00,1.01,1.06,0.99
19,1.00,1.02,1.05,0.98
19,1.00,1.01,1.05,0.99
19,1.01,1.02,1.05,0.99
19,1.00,1.02,1.05,0.98
19,1.00,1.02,1.05,0.98
19,1.00,1.02,1.05,0.98
19,1.01,1.02,1.05,0.99
19,1.00,1.02,1.05,0.98
19,1.00,1.02,1.05,0.98
19,1.01,1.02,1.05,0.99
19,1.00,1.02,1.05,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.00,1.01,1.02,0.99
19,1.02,1.03,1.04,0.99
19,1.02,1.03,1.04,0.99
19,1.02,1.03,1.04,0.99
19,1.01,1.03,1.04,0.98
19,1.01,1.03,1.04,0.98
19,1.00,1.03,1.04,0.97
19,1.00,1.03,1.04,0.97
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.04,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.02,1.03,0.98
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
19,1.00,1.01,1.03,0.99
